sku_id,asin,product_name,category,date,inventory_on_hand,sales_units,revenue,ad_spend,has_buy_box,my_price,competitor_price
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-01,420,73.904,1847.6,527.89,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-02,420,63.653,1591.33,454.67,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-03,419,76.5063,1912.66,546.47,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-04,419,80.7988,2019.97,577.13,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-05,419,67.6104,1690.26,482.93,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-06,418,61.8889,1547.22,442.06,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-07,418,56.4877,1412.19,403.48,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-08,418,73.8072,1845.18,527.19,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-09,417,61.7993,1544.98,441.42,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-10,417,78.1331,1953.33,558.09,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-11,417,77.9737,1949.34,556.95,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-12,417,64.9864,1624.66,464.19,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-13,416,82.0567,2051.42,586.12,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-14,416,58.0256,1450.64,414.47,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-15,416,78.8927,1972.32,563.52,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-16,415,77.7153,1942.88,555.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-17,415,70.1622,1754.06,501.16,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-18,415,65.7498,1643.74,469.64,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-19,414,78.1538,1953.85,558.24,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-20,414,78.986,1974.65,564.19,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-21,414,74.5921,1864.8,532.8,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-22,413,61.3986,1534.97,438.56,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-23,413,57.2733,1431.83,409.09,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-24,413,57.8133,1445.33,412.95,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-25,412,72.4708,1811.77,517.65,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-26,412,65.1207,1628.02,465.15,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-27,412,62.2376,1555.94,444.55,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-28,411,72.6436,1816.09,518.88,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-29,411,59.5153,1487.88,425.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-30,411,59.2578,1481.45,423.27,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-01-31,411,81.8233,2045.58,584.45,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-01,410,69.93,1748.25,499.5,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-02,410,77.6895,1942.24,554.93,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-03,410,60.8686,1521.71,434.77,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-04,409,63.1795,1579.49,451.28,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-05,409,60.2824,1507.06,430.59,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-06,409,78.3638,1959.1,559.74,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-07,408,72.289,1807.23,516.35,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-08,408,79.2815,1982.04,566.3,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-09,408,61.5617,1539.04,439.73,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-10,407,69.5668,1739.17,496.91,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-11,407,70.1431,1753.58,501.02,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-12,407,65.0669,1626.67,464.76,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-13,406,81.2243,2030.61,580.17,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-14,406,56.6135,1415.34,404.38,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-15,406,57.0766,1426.91,407.69,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-16,406,75.4811,1887.03,539.15,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-17,405,55.7421,1393.55,398.16,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-18,405,80.8713,2021.78,577.65,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-19,405,80.133,2003.32,572.38,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-20,404,54.2094,1355.24,387.21,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-21,404,72.2158,1805.39,515.83,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-22,404,60.9957,1524.89,435.68,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-23,403,56.7733,1419.33,405.52,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-24,403,65.9217,1648.04,470.87,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-25,403,77.2023,1930.06,551.45,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-26,402,67.0757,1676.89,479.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-27,402,78.0672,1951.68,557.62,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-02-28,402,61.5569,1538.92,439.69,true,25.0,25.5
